unit_id,building_id,unit_number,floor_plan,beds,baths,sqft,floor,gross_rent,net_effective_rent,lease_term,available_date,concession,default_people,max_people,share_plan_type,rent_step_difference,space_1_name,space_2_name,space_3_name,security_deposit_amount,broker_fee_amount,amenity_fee_amount,utilities_estimate_monthly,source_url,source_last_checked,verification_status,verification_notes
235_grand-4407,235_grand,4407,Studio 1B,0,1,,,3514,,12 months,6/15/2026,See official website,1,1,whole_unit,,Whole studio,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-ph02,235_grand,PH02,1B1B,1,1,,,4551,,12 months,7/24/2026,See official website,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
235_grand-ph12,235_grand,PH12,1B1B,1,1,,,5508,,12 months,Available now,See official website,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.235grand.com/availableunits,2026-05-28,search_index_fallback,Official website was protected from direct script access; values came from indexed official snippets and should be spot-checked before signing.
47_05_center_boulevard-213,47_05_center_boulevard,213,1B1B,1,1,,,4195,,12 months,05/18/2026,See official Rockrose listing,1,2,whole_unit,,Bedroom 1,,,,,,,https://rockrose.com/listing/213-3/,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
47_05_center_boulevard-1203,47_05_center_boulevard,1203,1B1B,1,1,,,4520,,12 months,05/08/2026,See official Rockrose listing,1,2,whole_unit,,Bedroom 1,,,,,,,https://rockrose.com/listing/1203/,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
47_05_center_boulevard-2101,47_05_center_boulevard,2101,2B2B,2,2,,,6950,,12 months,06/07/2026,See official Rockrose listing,2,3,bedroom_split,,Bedroom 1,Bedroom 2,,,,,,https://rockrose.com/listing/2101-4/,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
47_05_center_boulevard-2204,47_05_center_boulevard,2204,1B1B,1,1,,,4625,,12 months,05/20/2026,See official Rockrose listing,1,2,whole_unit,,Bedroom 1,,,,,,,https://rockrose.com/listing/2204-2/,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
47_05_center_boulevard-2613,47_05_center_boulevard,2613,1B1B,1,1,,,4825,,12 months,05/20/2026,See official Rockrose listing,1,2,whole_unit,,Bedroom 1,,,,,,,https://rockrose.com/listing/2613-2/,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
555ten-20c,555ten,20C,Studio 1B,0,1,,,3895,,12 months,Immediate occupancy,Official page notes prices reflect net effective rents,1,1,whole_unit,,Whole studio,,,,,,,https://555ten.com/#availability,2026-05-28,official_site_scraped,Directly read from the apartment community website or its public official data feed.
555ten-20f,555ten,20F,1B1B,1,1,,,5495,,12 months,Immediate occupancy,Official page notes prices reflect net effective rents,1,2,whole_unit,,Bedroom 1,,,,,,,https://555ten.com/#availability,2026-05-28,official_site_scraped,Directly read from the apartment community website or its public official data feed.
555ten-22d,555ten,22D,1B1B,1,1,,,5625,,12 months,Immediate occupancy,Official page notes prices reflect net effective rents,1,2,whole_unit,,Bedroom 1,,,,,,,https://555ten.com/#availability,2026-05-28,official_site_scraped,Directly read from the apartment community website or its public official data feed.
555ten-31g,555ten,31G,1B1B,1,1,,,5425,,12 months,Immediate occupancy,Official page notes prices reflect net effective rents,1,2,whole_unit,,Bedroom 1,,,,,,,https://555ten.com/#availability,2026-05-28,official_site_scraped,Directly read from the apartment community website or its public official data feed.
555ten-32h,555ten,32H,Studio 1B,0,1,,,4415,,12 months,Immediate occupancy,Official page notes prices reflect net effective rents,1,1,whole_unit,,Whole studio,,,,,,,https://555ten.com/#availability,2026-05-28,official_site_scraped,Directly read from the apartment community website or its public official data feed.
555ten-36a,555ten,36A,2B1B,2,1,,,8500,,12 months,Immediate occupancy,Official page notes prices reflect net effective rents,2,3,bedroom_split,,Bedroom 1,Bedroom 2,,,,,,https://555ten.com/#availability,2026-05-28,official_site_scraped,Directly read from the apartment community website or its public official data feed.
555ten-43m,555ten,43M,Studio 1B,0,1,,,4845,,12 months,Immediate occupancy,Official page notes prices reflect net effective rents,1,1,whole_unit,,Whole studio,,,,,,,https://555ten.com/#availability,2026-05-28,official_site_scraped,Directly read from the apartment community website or its public official data feed.
555ten-44n,555ten,44N,2B1B,2,1,,,9000,,12 months,Immediate occupancy,Official page notes prices reflect net effective rents,2,3,bedroom_split,,Bedroom 1,Bedroom 2,,,,,,https://555ten.com/#availability,2026-05-28,official_site_scraped,Directly read from the apartment community website or its public official data feed.
555ten-51e,555ten,51E,2B1B,2,1,,,9100,,12 months,Immediate occupancy,Official page notes prices reflect net effective rents,2,3,bedroom_split,,Bedroom 1,Bedroom 2,,,,,,https://555ten.com/#availability,2026-05-28,official_site_scraped,Directly read from the apartment community website or its public official data feed.
555ten-51l,555ten,51L,1B1B,1,1,,,6000,,12 months,Immediate occupancy,Official page notes prices reflect net effective rents,1,2,whole_unit,,Bedroom 1,,,,,,,https://555ten.com/#availability,2026-05-28,official_site_scraped,Directly read from the apartment community website or its public official data feed.
70_greene_apartments-1209,70_greene_apartments,1209,1B1B,1,1,,,3712,,12 months,6/5/2026,See official Equity pricing page,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.equityapartments.com/new-york-city/jersey-city/70-greene-apartments#/unit/1/1209,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
70_greene_apartments-1509,70_greene_apartments,1509,1B1B,1,1,,,3443,,12 months,7/17/2026,See official Equity pricing page,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.equityapartments.com/new-york-city/jersey-city/70-greene-apartments#/unit/1/1509,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
70_greene_apartments-1511,70_greene_apartments,1511,Studio 1B,0,1,,,3288,,12 months,5/28/2026,See official Equity pricing page,1,1,whole_unit,,Whole studio,,,,,,,https://www.equityapartments.com/new-york-city/jersey-city/70-greene-apartments#/unit/1/1511,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
70_greene_apartments-1905,70_greene_apartments,1905,1B1B,1,1,,,3619,,12 months,6/16/2026,See official Equity pricing page,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.equityapartments.com/new-york-city/jersey-city/70-greene-apartments#/unit/1/1905,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
70_greene_apartments-2104,70_greene_apartments,2104,1B1B,1,1,,,3422,,12 months,6/20/2026,See official Equity pricing page,1,2,whole_unit,,Bedroom 1,,,,,,,https://www.equityapartments.com/new-york-city/jersey-city/70-greene-apartments#/unit/1/2104,2026-05-28,provided_csv_or_prior_official_scrape,Imported from the supplied CSV/current official scrape file and normalized into relational tables.
